Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded),,,,,Backlog,,,
Dordogne,Backlog,3.6 hrs,0 hrs,,,,,Neon Blood,Backlog,3.2 hrs,0 hrs
Dota 2,Multiplayer,772.1 hrs,0.3 hrs,,,,,Neverending Nightmares,Backlog,1.7 hrs,0 hrs
DRACOMATON,Backlog,0 hrs,0 hrs,,,,,Nioh 2 – The Complete Edition,Backlog,41.5 hrs,1.1 hrs
Dragon Age II: Ultimate Edition,Backlog,30.5 hrs,0 hrs,,,,,No More Heroes,Backlog,11 hrs,0 hrs
Dragon Age™ Inquisition,Backlog,52 hrs,1.4 hrs,,,,,Nobody Wants to Die,Backlog,5.8 hrs,0 hrs
Dragon Age™: The Veilguard,Dropped,28.5 hrs,19.5 hrs,,,,,Oceanhorn: Monster of Uncharted Seas,Backlog,9.3 hrs,1.6 hrs
DRAGON BALL FighterZ,Arcade,12.1 hrs,116.9 hrs,,,,,OCTOPATH TRAVELER II,Backlog,60 hrs,3.1 hrs
DRAGON BALL XENOVERSE,Arcade,17 hrs,15.2 hrs,,,,,Okami HD,Backlog,33.1 hrs,1.7 hrs
DRAGON BALL Z: KAKAROT,Completed,30.5 hrs,61.6 hrs,,,,,ONE PIECE ODYSSEY,Backlog,34 hrs,30.2 hrs
DRAGON BALL: Sparking! ZERO,Arcade,10.6 hrs,29.6 hrs,,,,,One Piece: Unlimited World Red - Deluxe Edition,Backlog,9.1 hrs,0 hrs
DRAGON QUEST III HD-2D Remake,Backlog,32.5 hrs,19.5 hrs,,,,,One Way Heroics,Backlog,2.2 hrs,0 hrs
DRAGON QUEST® XI: Echoes of an Elusive Age™,Completed,57 hrs,80.4 hrs,,,,,Ori and the Blind Forest,Backlog,8.2 hrs,0 hrs
Dragon's Dogma 2,Completed,30.9 hrs,68.6 hrs,,,,,Ori and the Blind Forest: Definitive Edition,Backlog,9 hrs,0 hrs
Dragon's Dogma: Dark Arisen,Completed,32.6 hrs,44.4 hrs,,,,,Orwell,Backlog,4.6 hrs,0 hrs
Drawful 2,Multiplayer,1.4 hrs,0 hrs,,,,,Overlord II,Backlog,16.5 hrs,1.1 hrs
DREDGE,Backlog,9.5 hrs,0 hrs,,,,,Pacific Drive,Backlog,20.6 hrs,4.9 hrs
Duke Nukem Forever,Backlog,9.2 hrs,0 hrs,,,,,Paper Beast,Backlog,3.1 hrs,0 hrs
Dungeons 2,Backlog,15.5 hrs,0.3 hrs,,,,,Paper Beast - Folded Edition,Backlog,3.1 hrs,0 hrs
Dungeons of Hinterberg,Backlog,14.6 hrs,0 hrs,,,,,Path of Exile,Backlog,29.6 hrs,0 hrs
Dying Light,Completed,18 hrs,21.3 hrs,,,,,Persona 3 Reload,Backlog,64.6 hrs,21.3 hrs
Eastward,Backlog,20.2 hrs,0 hrs,,,,,Persona 5 Strikers,Backlog,35.2 hrs,0 hrs
Edge Of Eternity,Backlog,29 hrs,0 hrs,,,,,Pillars of Eternity,Backlog,36.1 hrs,0 hrs
Eiyuden Chronicle: Hundred Heroes,Backlog,46.5 hrs,0 hrs,,,,,Pony Island,Backlog,2.4 hrs,0 hrs
Eiyuden Chronicle: Rising,Backlog,12.4 hrs,0 hrs,,,,,Portal Stories: Mel,Backlog,7.7 hrs,0.7 hrs
ELDEN RING,Completed,60 hrs,114.2 hrs,,,,,Praetorians,Backlog,17.2 hrs,0 hrs
ELDEN RING NIGHTREIGN,Multiplayer,42 hrs,29.9 hrs,,,,,Prey,Backlog,16.2 hrs,6 hrs
Electrician Simulator - First Shock,Arcade,0.7 hrs,0 hrs,,,,,Prince of Persia,Backlog,11.4 hrs,0 hrs
Elite Dangerous,Multiplayer,117.2 hrs,1.4 hrs,,,,,Project Kat - Paper Lily Prologue,Backlog,0.7 hrs,0 hrs
Emily is Away,Completed,0.7 hrs,1 hrs,,,,,Propagation VR,Backlog,0.6 hrs,0.3 hrs
Emily is Away <3,Backlog,4.6 hrs,2 hrs,,,,,Quest for Infamy,Backlog,9.2 hrs,0 hrs
ENDLESS™ Legend,Backlog,16 hrs,0 hrs,,,,,Racine,Backlog,10.1 hrs,0 hrs
ENSLAVED™: Odyssey to the West™ Premium Edition,Backlog,9 hrs,2.9 hrs,,,,,Raw Data,Backlog,5.4 hrs,0 hrs
Escape from Ever After: Onboarding,Completed,3.6 hrs,0.9 hrs,,,,,Rayman Origins,Backlog,11 hrs,0 hrs
Everafter Falls,Arcade,0 hrs,0 hrs,,,,,Red Dead Redemption,Backlog,17.7 hrs,0 hrs
Everhood,Backlog,6.6 hrs,1.7 hrs,,,,,Red Faction Guerrilla Re-Mars-tered,Backlog,11 hrs,0 hrs
EVERSPACE™,Dropped,17 hrs,0.8 hrs,,,,,Remember Me,Backlog,9.9 hrs,0 hrs
Evil West,Backlog,10.8 hrs,0 hrs,,,,,Remnant II,Backlog,18.1 hrs,5.2 hrs
Evolve Stage 2,Multiplayer,16.7 hrs,10.5 hrs,,,,,Remnants of Isolation,Backlog,3.8 hrs,0 hrs
F.E.A.R.,Backlog,8.2 hrs,0 hrs,,,,,Resident Evil Revelations,Backlog,8.4 hrs,0.4 hrs
F.E.A.R. 2: Project Origin,Backlog,7.1 hrs,0 hrs,,,,,Resident Evil Revelations 2,Backlog,10.2 hrs,0 hrs
F.E.A.R. 3,Backlog,5.8 hrs,0 hrs,,,,,Risen,Backlog,27.8 hrs,0 hrs
F1 2011,Arcade,16.2 hrs,0 hrs,,,,,Risen 2 - Dark Waters,Backlog,26 hrs,0 hrs
F1 2012,Arcade,40.9 hrs,0 hrs,,,,,RKGK / Rakugaki,Backlog,3.2 hrs,0 hrs
F1 2014,Arcade,7.8 hrs,0 hrs,,,,,Ryse: Son of Rome,Backlog,6.4 hrs,0 hrs
F1 2015,Arcade,14.1 hrs,0.5 hrs,,,,,S.T.A.L.K.E.R.: Call of Pripyat,Backlog,15.1 hrs,0 hrs
F1 2016,Arcade,20.4 hrs,0 hrs,,,,,S.T.A.L.K.E.R.: Call of Prypiat - Enhanced Edition,Backlog,15.1 hrs,0 hrs
F1 2019,Arcade,29.7 hrs,0 hrs,,,,,S.T.A.L.K.E.R.: Clear Sky,Backlog,12.7 hrs,0 hrs
F1 2020,Arcade,31.2 hrs,0 hrs,,,,,S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,Backlog,12.7 hrs,0 hrs
F1 Race Stars,Arcade,14.1 hrs,0 hrs,,,,,S.T.A.L.K.E.R.: Shadow of Chernobyl,Backlog,15.1 hrs,0 hrs
F1® 22,Arcade,22.5 hrs,0.2 hrs,,,,,S.T.A.L.K.E.R.: Shadow of Chornobyl - Enhanced Edition,Backlog,15.1 hrs,0 hrs
F1® 23,Arcade,9.5 hrs,0.7 hrs,,,,,Sacred 3,Backlog,8.6 hrs,0 hrs
Fable Anniversary,Dropped,13.5 hrs,8.2 hrs,,,,,SanctuaryRPG: Black Edition,Backlog,11.9 hrs,1.1 hrs
Fabledom,Backlog,13.1 hrs,0 hrs,,,,,Satellite Reign,Backlog,21.7 hrs,0 hrs
Fading Afternoon,Backlog,5.6 hrs,0.4 hrs,,,,,Severed Steel,Backlog,3 hrs,0 hrs
Fahrenheit: Indigo Prophecy Remastered,Backlog,8.1 hrs,0 hrs,,,,,Shadow Gambit: The Cursed Crew,Backlog,27.6 hrs,0 hrs
Fallout,Backlog,16.3 hrs,0 hrs,,,,,Shadowrun Chronicles - Boston Lockdown,Backlog,23 hrs,0 hrs
Fallout 3,Completed,22.2 hrs,11.8 hrs,,,,,Shin Megami Tensei V: Vengeance,Backlog,45.4 hrs,13 hrs
Fallout 3 - Game of the Year Edition,Backlog,26.5 hrs,19.9 hrs,,,,,Showgunners,Backlog,13.5 hrs,0 hrs
Fallout 4,Completed,27.6 hrs,1.1 hrs,,,,,Silent Hill: Homecoming,Backlog,9.3 hrs,0 hrs
Fallout 4 VR,Backlog,27.6 hrs,2.3 hrs,,,,,Sir Whoopass™: Immortal Death,Backlog,7.5 hrs,0 hrs
Fallout: New Vegas,Completed,26.9 hrs,14.4 hrs,,,,,Sker Ritual,Backlog,9.2 hrs,0 hrs
Fashion Police Squad,Backlog,4.6 hrs,0 hrs,,,,,Sniper Elite 3,Backlog,9.1 hrs,5.3 hrs
Fear & Hunger,Backlog,10.1 hrs,0.2 hrs,,,,,Sniper Elite 4,Backlog,10.7 hrs,0 hrs
Felvidek,Completed,4.9 hrs,6.3 hrs,,,,,Sniper Elite 5,Backlog,10.7 hrs,0 hrs
Fights in Tight Spaces,Backlog,10.3 hrs,0 hrs,,,,,Sonic CD,Backlog,2 hrs,0 hrs
Figment 2: Creed Valley,Backlog,4.1 hrs,0 hrs,,,,,SONIC THE HEDGEHOG 4 Episode I,Backlog,2.6 hrs,0.2 hrs
Final Fantasy III (3D Remake),Backlog,16.5 hrs,0 hrs,,,,,SONIC THE HEDGEHOG 4 Episode II,Backlog,2.5 hrs,0 hrs
Final Fantasy IV (3D Remake),Backlog,33.5 hrs,0 hrs,,,,,Soul Axiom,Backlog,13.3 hrs,0 hrs
FINAL FANTASY IX,Completed,38 hrs,37.3 hrs,,,,,Soulstice,Backlog,17 hrs,0 hrs
FINAL FANTASY V,Dropped,33.5 hrs,11 hrs,,,,,South of Midnight,Backlog,9.7 hrs,2.5 hrs
FINAL FANTASY VI,Completed,33.5 hrs,35.8 hrs,,,,,Spec Ops: The Line,Backlog,6.1 hrs,0 hrs
FINAL FANTASY VII,Completed,36.1 hrs,39.6 hrs,,,,,SpongeBob SquarePants: The Cosmic Shake,Backlog,7 hrs,0 hrs
FINAL FANTASY VII EVER CRISIS,Arcade,25 hrs,0 hrs,,,,,Spooky's Jump Scare Mansion,Backlog,3.8 hrs,0 hrs
FINAL FANTASY VII REBIRTH,Completed,48 hrs,3.2 hrs,,,,,STAR WARS™ Knights of the Old Republic™,Backlog,29 hrs,1 hrs
FINAL FANTASY VII REMAKE INTERGRADE,Completed,32.5 hrs,106.8 hrs,,,,,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,Backlog,30.5 hrs,0 hrs
FINAL FANTASY VIII,Completed,39 hrs,0 hrs,,,,,STAR WARS™: Bounty Hunter™,Backlog,7.5 hrs,0 hrs
FINAL FANTASY VIII - REMASTERED,Completed,39 hrs,42.9 hrs,,,,,Starship Troopers: Terran Command,Backlog,13.6 hrs,0 hrs
FINAL FANTASY X/X-2 HD Remaster,Completed,50.4 hrs,26.4 hrs,,,,,Stealth Inc 2,Backlog,9.1 hrs,0 hrs
FINAL FANTASY XIII,Completed,48 hrs,54.6 hrs,,,,,Steelrising,Backlog,15.2 hrs,0 hrs
FINAL FANTASY XIII-2,Completed,27.9 hrs,27.7 hrs,,,,,Strider,Backlog,5.5 hrs,0.2 hrs
FINAL FANTASY XV WINDOWS EDITION,Completed,28 hrs,48.8 hrs,,,,,Styx: Master of Shadows,Backlog,17 hrs,0 hrs
FINAL FANTASY XVI,Completed,38 hrs,5 hrs,,,,,Sunset Overdrive,Backlog,10.1 hrs,0 hrs
FINAL FANTASY® XI: Ultimate Collection Seekers Edition ROW,Multiplayer,392 hrs,0 hrs,,,,,Symphony of War: The Nephilim Saga,Backlog,29.2 hrs,0 hrs
Firewatch,Completed,4.1 hrs,4.4 hrs,,,,,Tales from the Borderlands,Backlog,10.6 hrs,0 hrs
For Honor,Multiplayer,7 hrs,0 hrs,,,,,Tales of Symphonia,Backlog,46.7 hrs,2.9 hrs
Fort Solis,Backlog,3.7 hrs,0 hrs,,,,,Tchia,Backlog,7.6 hrs,0 hrs
Forza Horizon 4,Arcade,15 hrs,11 hrs,,,,,The Bard's Tale Trilogy,Backlog,29 hrs,0 hrs
Forza Horizon 5,Arcade,20.9 hrs,0 hrs,,,,,The Binding of Isaac: Rebirth,Backlog,5.6 hrs,1.5 hrs
FOTONICA,Backlog,1.8 hrs,0 hrs,,,,,The Bureau: XCOM Declassified,Backlog,10.4 hrs,0 hrs
Friday the 13th: Killer Puzzle,Arcade,5.5 hrs,0.6 hrs,,,,,The Council,Backlog,14.2 hrs,0 hrs
Frostpunk,Backlog,10.6 hrs,0 hrs,,,,,The Dark Eye: Chains of Satinav,Backlog,9.8 hrs,0 hrs
FTL: Faster Than Light,Dropped,12.2 hrs,0.6 hrs,,,,,The Darkness II,Backlog,6.1 hrs,0 hrs
Game Dev Tycoon,Arcade,8.6 hrs,6.8 hrs,,,,,The Excavation of Hob's Barrow,Backlog,7 hrs,0.7 hrs
Game of Thrones - A Telltale Games Series,Completed,12.1 hrs,12.5 hrs,,,,,The Flame in the Flood,Backlog,8.6 hrs,0 hrs
Garden Story,Backlog,10.6 hrs,0 hrs,,,,,The Last Campfire,Backlog,5.2 hrs,0 hrs
Gears 5,Backlog,11.3 hrs,1.7 hrs,,,,,The Legend of Heroes: Trails in the Sky,Backlog,40.4 hrs,0 hrs
Gears Tactics,Backlog,25.4 hrs,0 hrs,,,,,The Murder of Sonic the Hedgehog,Backlog,2.3 hrs,0 hrs
Ghost in the Shell: Stand Alone Complex - First Assault Online,Multiplayer,18 hrs,0 hrs,,,,,The Red Strings Club,Backlog,4 hrs,0 hrs
Ghostbusters: The Video Game,Backlog,8.1 hrs,1.9 hrs,,,,,The Surge,Backlog,20.8 hrs,0 hrs
Ghostrunner,Completed,7.1 hrs,9.1 hrs,,,,,The Thaumaturge,Backlog,16.2 hrs,0 hrs
Ghostrunner 2,Backlog,8.3 hrs,1.2 hrs,,,,,The Walking Dead: Saints & Sinners,Backlog,10.4 hrs,4.1 hrs
Goat Simulator,Arcade,2.2 hrs,0.2 hrs,,,,,The Wolf Among Us,Backlog,8.6 hrs,0 hrs
Goats on a Bridge,Arcade,1.2 hrs,0 hrs,,,,,Thronebreaker: The Witcher Tales,Backlog,27.8 hrs,0 hrs
Gone Home,Completed,2 hrs,1.1 hrs,,,,,Tiny Terry's Turbo Trip,Backlog,3.5 hrs,0 hrs
Gotham Knights,Multiplayer,17.3 hrs,0 hrs,,,,,Titanfall® 2,Backlog,6 hrs,0.3 hrs
Grand Theft Auto III,Backlog,14.2 hrs,0 hrs,,,,,To the Moon,Backlog,4.1 hrs,0 hrs
Grand Theft Auto IV: The Complete Edition,Completed,30.7 hrs,17.3 hrs,,,,,Tomb Raider I-III Remastered Starring Lara Croft,Backlog,36.4 hrs,0 hrs
Grand Theft Auto V Enhanced,Completed,32.1 hrs,0 hrs,,,,,Trepang2,Backlog,5.2 hrs,0 hrs
Grand Theft Auto V Legacy,Completed,32.1 hrs,53.8 hrs,,,,,Trials of Mana,Backlog,20.4 hrs,8.6 hrs
Grand Theft Auto: San Andreas,Backlog,30.3 hrs,0.1 hrs,,,,,TROUBLESHOOTER: Abandoned Children,Backlog,82.2 hrs,0 hrs
Grand Theft Auto: Vice City,Backlog,17.2 hrs,0 hrs,,,,,Ultros,Backlog,11.2 hrs,0 hrs
Graveyard Keeper,Arcade,45.9 hrs,0 hrs,,,,,Uncanny Valley,Backlog,1.5 hrs,0 hrs
Gravity Circuit,Backlog,4.8 hrs,0 hrs,,,,,Universe For Sale,Backlog,4.9 hrs,0 hrs
GRID,Arcade,20.8 hrs,2.5 hrs,,,,,Until You Fall,Backlog,7.7 hrs,0 hrs
GRID 2,Arcade,17.4 hrs,0 hrs,,,,,Velvet Assassin,Backlog,10 hrs,0 hrs
GRID Autosport,Arcade,32.4 hrs,0.4 hrs,,,,,Venba,Backlog,1.5 hrs,0 hrs
Griftlands,Backlog,11.6 hrs,0 hrs,,,,,"Warhammer 40,000: Boltgun",Backlog,9.9 hrs,2.6 hrs
Grim Dawn,Backlog,21.4 hrs,0 hrs,,,,,"Warhammer 40,000: Gladius - Relics of War",Backlog,11.2 hrs,0 hrs
Grimm's Hollow,Backlog,2.1 hrs,0 hrs,,,,,Warhammer Age of Sigmar: Realms of Ruin,Backlog,13.5 hrs,0 hrs
GUILTY GEAR -STRIVE-,Multiplayer,5 hrs,10.2 hrs,,,,,Warmachine Tactics,Backlog,29.4 hrs,0 hrs
Guns of Icarus Alliance,Multiplayer,1.8 hrs,0 hrs,,,,,We Went Back,Backlog,0.7 hrs,0 hrs
Guns of Icarus Online,Multiplayer,6 hrs,0 hrs,,,,,Whisper of a Rose,Backlog,0 hrs,0 hrs
Gurumin: A Monstrous Adventure,Backlog,9.4 hrs,0 hrs,,,,,Wildmender,Backlog,20 hrs,0 hrs
Hades,Backlog,23.2 hrs,2.6 hrs,,,,,WORLD OF FINAL FANTASY,Backlog,35.5 hrs,0 hrs
Half-Life,Backlog,12 hrs,0.3 hrs,,,,,X-COM: Apocalypse,Backlog,32.6 hrs,0 hrs
Half-Life 2,Backlog,12.9 hrs,0 hrs,,,,,X-COM: Enforcer,Backlog,4.4 hrs,0 hrs
Half-Life 2: Deathmatch,Multiplayer,2.5 hrs,0 hrs,,,,,X-COM: Interceptor,Backlog,13.1 hrs,0 hrs
Half-Life Deathmatch: Source,Multiplayer,2.9 hrs,0 hrs,,,,,X-COM: Terror from the Deep,Backlog,34.2 hrs,0 hrs
Half-Life: Alyx,Backlog,12.2 hrs,4 hrs,,,,,X-COM: UFO Defense,Backlog,38.3 hrs,0 hrs
Half-Life: Blue Shift,Backlog,3.1 hrs,0 hrs,,,,,XCOM 2,Backlog,33.3 hrs,0 hrs
Half-Life: Opposing Force,Backlog,5.2 hrs,0 hrs,,,,,XCOM: Chimera Squad,Backlog,21.4 hrs,0 hrs
Half-Life: Source,Multiplayer,11.2 hrs,0 hrs,,,,,XCOM: Enemy Unknown,Backlog,26.7 hrs,0 hrs
Halo Wars: Definitive Edition,Backlog,9 hrs,0 hrs,,,,,"Yes, Your Grace",Backlog,6.4 hrs,2 hrs
Halo: The Master Chief Collection,Backlog,43.1 hrs,30 hrs,,,,,Ys Origin,Backlog,11.5 hrs,0 hrs
Hand of Fate,Backlog,10.6 hrs,0 hrs,,,,,Yume Nikki,Backlog,5 hrs,0 hrs
Havendock,Arcade,22.5 hrs,0 hrs,,,,,Yuppie Psycho,Backlog,8.5 hrs,2.3 hrs
Hell Yeah!,Backlog,7.4 hrs,0 hrs,,,,,Zoeti,Backlog,8.5 hrs,0 hrs
Hellblade: Senua's Sacrifice,Completed,7.5 hrs,7.5 hrs,,,,,嗜血印 Bloody Spell,Backlog,5.5 hrs,0 hrs
Hellblade: Senua's Sacrifice VR Edition,Dropped,6.9 hrs,0 hrs,,,,,,,,
HELLDIVERS™ 2,Multiplayer,70 hrs,57.1 hrs,,,,,,,,
Heretic's Fork,Backlog,6 hrs,0 hrs,,,,,,,,
Hero Siege,Backlog,9.5 hrs,0 hrs,,,,,,,,
Hi-Fi RUSH,Completed,11.2 hrs,12 hrs,,,,,,,,
High On Life,Backlog,9.3 hrs,0 hrs,,,,,,,,
Hitman: Absolution,Completed,12.4 hrs,19.2 hrs,,,,,,,,
Hitman: Sniper Challenge,Dropped,0.6 hrs,0 hrs,,,,,,,,
HITMAN™ 2,Completed,10 hrs,0 hrs,,,,,,,,
Holy Potatoes! A Weapon Shop?!,Arcade,10.6 hrs,3.3 hrs,,,,,,,,
Home,Backlog,1.2 hrs,0 hrs,,,,,,,,
Homefront,Backlog,4.2 hrs,0 hrs,,,,,,,,
Hotline Miami,Backlog,5.2 hrs,0 hrs,,,,,,,,
House Flipper,Arcade,12.7 hrs,14.7 hrs,,,,,,,,
House Flipper VR,Dropped,4.2 hrs,0 hrs,,,,,,,,
Hyperdimension Neptunia Re;Birth1,Backlog,28 hrs,0.2 hrs,,,,,,,,
HYPERVIOLENT,Backlog,0 hrs,0 hrs,,,,,,,,
I Expect You To Die,Arcade,3.1 hrs,0 hrs,,,,,,,,
In Sound Mind,Backlog,10.1 hrs,0 hrs,,,,,,,,
InfraSpace,Arcade,46.1 hrs,0 hrs,,,,,,,,
Injustice: Gods Among Us Ultimate Edition,Multiplayer,5 hrs,7.3 hrs,,,,,,,,
Injustice™ 2,Multiplayer,5.5 hrs,0.1 hrs,,,,,,,,
INK,Arcade,2.2 hrs,0 hrs,,,,,,,,
Inkulinati,Backlog,6 hrs,0 hrs,,,,,,,,
Inscryption,Completed,12.7 hrs,14.3 hrs,,,,,,,,
INSIDE,Backlog,3.5 hrs,0 hrs,,,,,,,,
Into the Breach,Arcade,5.6 hrs,5.6 hrs,,,,,,,,
Jack Move,Backlog,5.9 hrs,0 hrs,,,,,,,,
Jagged Alliance 3,Backlog,46.6 hrs,0 hrs,,,,,,,,
Jet Set Radio,Backlog,6.8 hrs,0.2 hrs,,,,,,,,
JUMP FORCE,Dropped,14.5 hrs,7.1 hrs,,,,,,,,
Jurassic World Evolution 2,Backlog,6.2 hrs,0 hrs,,,,,,,,
Jusant,Backlog,4.5 hrs,0 hrs,,,,,,,,
Just Cause 2,Backlog,17.7 hrs,0.7 hrs,,,,,,,,
Just Cause 3,Backlog,18.3 hrs,4.2 hrs,,,,,,,,
Katamari Damacy REROLL,Backlog,4.6 hrs,0 hrs,,,,,,,,
Killer is Dead,Backlog,7.2 hrs,2.8 hrs,,,,,,,,
Killing Floor,Multiplayer,19 hrs,0 hrs,,,,,,,,
Killing Floor 2,Multiplayer,16.3 hrs,0 hrs,,,,,,,,
Kind Words,Arcade,2.4 hrs,1.3 hrs,,,,,,,,
King Of The Castle,Multiplayer,2.5 hrs,0 hrs,,,,,,,,
Kingdom Come: Deliverance,Completed,41.9 hrs,81.6 hrs,,,,,,,,
Kingdom Come: Deliverance II,Completed,52.8 hrs,119 hrs,,,,,,,,
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,Completed,154 hrs,36.7 hrs,,,,,,,,
Kingdom: Classic,Backlog,8.1 hrs,0 hrs,,,,,,,,
Kingdoms and Castles,Arcade,9.4 hrs,13 hrs,,,,,,,,
Klonoa Phantasy Reverie Series,Backlog,9 hrs,0.2 hrs,,,,,,,,
L.A. Noire,Completed,22 hrs,0 hrs,,,,,,,,
Labyrinthine Dreams,Backlog,1.3 hrs,1 hrs,,,,,,,,
Lara Croft and the Temple of Osiris,Dropped,5.2 hrs,0 hrs,,,,,,,,
Last Word,Dropped,4.7 hrs,0 hrs,,,,,,,,
Layers of Fear (2016),Dropped,3.5 hrs,1 hrs,,,,,,,,
Learn Japanese To Survive - Hiragana Battle,Backlog,9.9 hrs,0 hrs,,,,,,,,
Learn Japanese To Survive! Kanji Combat,Backlog,12 hrs,0 hrs,,,,,,,,
Learn Japanese To Survive! Katakana War,Backlog,10.9 hrs,0 hrs,,,,,,,,
Left 4 Dead 2,Multiplayer,10.3 hrs,0.8 hrs,,,,,,,,
Legacy of Kain™ Soul Reaver 1&2 Remastered,Backlog,21.5 hrs,0 hrs,,,,,,,,
LEGO® Batman™ 3: Beyond Gotham,Completed,10 hrs,17.7 hrs,,,,,,,,
LEGO® Harry Potter: Years 1-4,Backlog,12 hrs,2.3 hrs,,,,,,,,
LEGO® Star Wars™ III: The Clone Wars™,Backlog,9 hrs,0 hrs,,,,,,,,
LEGO® Star Wars™: The Complete Saga,Completed,13 hrs,12.6 hrs,,,,,,,,
LEGO® STAR WARS™: The Force Awakens,Dropped,9 hrs,1.2 hrs,,,,,,,,
LEGO® The Hobbit™,Backlog,9 hrs,0 hrs,,,,,,,,
LEGO® The Lord of the Rings™,Completed,10 hrs,1.7 hrs,,,,,,,,
Let's School,Arcade,17.1 hrs,0.5 hrs,,,,,,,,
Lethal Company,Multiplayer,8.9 hrs,12.1 hrs,,,,,,,,
Liar's Bar,Multiplayer,2.8 hrs,1.9 hrs,,,,,,,,
Life is Strange™,Dropped,14 hrs,0 hrs,,,,,,,,
Lifeless,Dropped,0 hrs,0 hrs,,,,,,,,
LIGHTNING RETURNS: FINAL FANTASY XIII,Backlog,33 hrs,0 hrs,,,,,,,,
Like a Dragon: Pirate Yakuza in Hawaii,Completed,17.3 hrs,46.1 hrs,,,,,,,,
Lil Gator Game,Backlog,3.2 hrs,0 hrs,,,,,,,,
LIMBO,Backlog,3.5 hrs,0 hrs,,,,,,,,
Loddlenaut,Backlog,3.6 hrs,0 hrs,,,,,,,,
Lords Of The Fallen,Backlog,29 hrs,0 hrs,,,,,,,,
Lost Ark,Multiplayer,48.2 hrs,17.5 hrs,,,,,,,,
Lost Eidolons,Backlog,40.1 hrs,0 hrs,,,,,,,,
Lost Planet 3,Backlog,10.6 hrs,0 hrs,,,,,,,,
Lost Planet: Extreme Condition,Backlog,8 hrs,0 hrs,,,,,,,,
LUMINES REMASTERED,Arcade,6 hrs,0 hrs,,,,,,,,
Machines At War 3,Dropped,0 hrs,0 hrs,,,,,,,,
Machinika Museum,Arcade,2.8 hrs,0 hrs,,,,,,,,
Mad Max,Backlog,20.1 hrs,0 hrs,,,,,,,,
Mafia II (Classic),Completed,12 hrs,0 hrs,,,,,,,,
Mafia II: Definitive Edition,Completed,11.2 hrs,12.3 hrs,,,,,,,,
Mafia III: Definitive Edition,Dropped,25 hrs,10.3 hrs,,,,,,,,
Mafia: Definitive Edition,Completed,10.6 hrs,11.1 hrs,,,,,,,,
Mage Arena,Multiplayer,0 hrs,0 hrs,,,,,,,,
Make America Great Again: The Trump Presidency,Dropped,0 hrs,0.6 hrs,,,,,,,,
Manhunt,Backlog,11 hrs,0 hrs,,,,,,,,
Marie's Room,Backlog,0.7 hrs,0 hrs,,,,,,,,
Marvel Rivals,Multiplayer,16.5 hrs,41 hrs,,,,,,,,
Marvel's Avengers - The Definitive Edition,Dropped,12.5 hrs,0 hrs,,,,,,,,
Marvel's Guardians of the Galaxy,Completed,17.6 hrs,0 hrs,,,,,,,,
Marvel's Midnight Suns,Backlog,40.1 hrs,6.9 hrs,,,,,,,,
Mass Effect (2007),Completed,17 hrs,16.3 hrs,,,,,,,,
Mass Effect 2 (2010),Completed,24.5 hrs,19.8 hrs,,,,,,,,
Mass Effect™ Legendary Edition,Completed,109 hrs,0 hrs,,,,,,,,
Mass Effect™: Andromeda Deluxe Edition,Backlog,18.5 hrs,0 hrs,,,,,,,,
McPixel 3,Backlog,5.4 hrs,0 hrs,,,,,,,,
Medal of Honor(TM) Single Player,Backlog,5 hrs,0 hrs,,,,,,,,
Mediterranea Inferno,Backlog,2.4 hrs,0 hrs,,,,,,,,
Mega Man Legacy Collection,Arcade,16.5 hrs,1.6 hrs,,,,,,,,
METAL GEAR RISING: REVENGEANCE,Completed,7 hrs,3.6 hrs,,,,,,,,
METAL GEAR SOLID 2: Sons of Liberty - Master Collection Version,Completed,13.2 hrs,0 hrs,,,,,,,,
METAL GEAR SOLID V: THE PHANTOM PAIN,Completed,45.5 hrs,1.3 hrs,,,,,,,,
Metaphor: ReFantazio,Completed,65.4 hrs,116.1 hrs,,,,,,,,
Metro 2033,Completed,9.5 hrs,0 hrs,,,,,,,,
Metro 2033 Redux,Completed,9.1 hrs,10.4 hrs,,,,,,,,
Metro: Last Light Complete Edition,Backlog,9.8 hrs,0 hrs,,,,,,,,
Micro Machines World Series,Arcade,1.1 hrs,0 hrs,,,,,,,,
Middle-earth™: Shadow of Mordor™,Completed,16 hrs,14.5 hrs,,,,,,,,
Middle-earth™: Shadow of War™,Completed,21 hrs,35 hrs,,,,,,,,
Mini Metro,Arcade,5.8 hrs,0.3 hrs,,,,,,,,
Mini Ninjas,Backlog,7.7 hrs,0 hrs,,,,,,,,
Mirror's Edge,Completed,6.1 hrs,8.6 hrs,,,,,,,,
Mitsurugi Kamui Hikae,Backlog,2.2 hrs,0 hrs,,,,,,,,
MONSTER HUNTER RISE,Multiplayer,23 hrs,5.4 hrs,,,,,,,,
Monster Hunter Wilds,Completed,17.7 hrs,41.5 hrs,,,,,,,,
Monster Hunter: World,Multiplayer,46.5 hrs,40 hrs,,,,,,,,
Moonstone Island,Backlog,33.1 hrs,0 hrs,,,,,,,,
MORDHAU,Multiplayer,2 hrs,21.8 hrs,,,,,,,,
