Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded),,,,,Backlog,,,
Back to the Future: Ep 2 - Get Tannen!,Backlog,2.3 hrs,0 hrs,,,,,Bomb Rush Cyberfunk,Backlog,10.2 hrs,0.8 hrs
Back to the Future: Ep 3 - Citizen Brown,Backlog,2.4 hrs,0 hrs,,,,,Bulb Boy,Backlog,2 hrs,0 hrs
Back to the Future: Ep 4 - Double Visions,Backlog,2.5 hrs,0 hrs,,,,,Bulletstorm: Full Clip Edition,Backlog,7.5 hrs,0 hrs
Back to the Future: Ep 5 - OUTATIME,Backlog,2.4 hrs,0 hrs,,,,,Bully: Scholarship Edition,Backlog,14.5 hrs,0.7 hrs
Balatro,Arcade,7.3 hrs,23.5 hrs,,,,,Burning Daylight,Backlog,0.7 hrs,0 hrs
Baldur's Gate 3,Completed,72 hrs,176 hrs,,,,,Call of Juarez,Backlog,7.9 hrs,0 hrs
Banishers: Ghosts of New Eden,Backlog,22.2 hrs,0 hrs,,,,,Call of Juarez Gunslinger,Backlog,5.1 hrs,0 hrs
Batman: Arkham Asylum GOTY Edition,Completed,11 hrs,0 hrs,,,,,Call of Juarez: Bound in Blood,Backlog,7.5 hrs,0 hrs
Batman: Arkham City GOTY,Completed,13.5 hrs,9.4 hrs,,,,,Cassette Beasts,Backlog,19.8 hrs,1.5 hrs
Batman™: Arkham Knight,Completed,17 hrs,28.6 hrs,,,,,Castle of Illusion,Backlog,2.6 hrs,0.3 hrs
Batman™: Arkham Origins,Completed,12.5 hrs,12.1 hrs,,,,,Castlevania: Lords of Shadow - Ultimate Edition,Backlog,19 hrs,0.2 hrs
BattleBit Remastered,Multiplayer,33.4 hrs,1.5 hrs,,,,,Castlevania: Lords of Shadow 2,Backlog,14.7 hrs,0 hrs
Battleborn,Dropped,9 hrs,0.8 hrs,,,,,Cat Quest III,Backlog,5.5 hrs,0 hrs
Battlefield™ 6 Open Beta,Multiplayer,0 hrs,0 hrs,,,,,Cavern of Dreams,Backlog,5.1 hrs,0 hrs
Beat Saber,Arcade,6.4 hrs,26 hrs,,,,,Chained Echoes,Backlog,34.8 hrs,0 hrs
Beatbuddy: Tale of the Guardians,Backlog,5.3 hrs,0 hrs,,,,,CHRONO CROSS: THE RADICAL DREAMERS EDITION,Backlog,34.5 hrs,0 hrs
Beneath Oresa,Backlog,9.2 hrs,0 hrs,,,,,Citizen Sleeper,Backlog,6.8 hrs,0 hrs
BERSERK and the Band of the Hawk,Playing,15.7 hrs,2.9 hrs,,,,,CODE VEIN,Backlog,26.5 hrs,0 hrs
Beyond Good & Evil,Completed,10.8 hrs,13.8 hrs,,,,,Company of Heroes 2,Backlog,15.5 hrs,0 hrs
Binary Domain,Backlog,9.2 hrs,0.3 hrs,,,,,Condemned: Criminal Origins,Backlog,6.9 hrs,0 hrs
Bionic Commando,Backlog,6.9 hrs,0 hrs,,,,,Corn Kidz 64,Backlog,5 hrs,0 hrs
Bionic Commando Rearmed,Backlog,5 hrs,0 hrs,,,,,Coromon,Backlog,24.6 hrs,0 hrs
BioShock,Completed,12.1 hrs,4.3 hrs,,,,,Crash Bandicoot™ N. Sane Trilogy,Backlog,15 hrs,0 hrs
BioShock 2,Completed,10.5 hrs,0 hrs,,,,,Crow Country,Backlog,5.3 hrs,0.2 hrs
BioShock 2 Remastered,Completed,10.5 hrs,7.1 hrs,,,,,Crysis 2 Maximum Edition,Backlog,9 hrs,0 hrs
BioShock Infinite,Completed,11.5 hrs,4 hrs,,,,,DAEMON X MACHINA,Backlog,15.5 hrs,0 hrs
BioShock Remastered,Completed,12.1 hrs,0 hrs,,,,,Dark Messiah of Might & Magic Single Player,Backlog,10 hrs,0.3 hrs
Biped,Multiplayer,2.9 hrs,0 hrs,,,,,Darksiders II Deathinitive Edition,Backlog,19.8 hrs,0 hrs
Black & White Bushido,Arcade,1.2 hrs,0.4 hrs,,,,,Darkwood,Backlog,18.3 hrs,0.9 hrs
Black Desert,Multiplayer,95 hrs,2.3 hrs,,,,,Data Hacker: Corruption,Backlog,18 hrs,0 hrs
Black Future '88,Backlog,5.3 hrs,0 hrs,,,,,Deadly Premonition 2,Backlog,19.9 hrs,0 hrs
Black Mesa,Backlog,15.2 hrs,0 hrs,,,,,Deadly Premonition: The Director's Cut,Backlog,18.3 hrs,0 hrs
Black Myth: Wukong,Completed,38.3 hrs,41.9 hrs,,,,,Deathtrap,Backlog,7.2 hrs,0 hrs
Black Skylands,Backlog,13.9 hrs,0 hrs,,,,,Demon Hunter: Chronicles from Beyond,Backlog,3.2 hrs,0 hrs
BLACKTAIL,Backlog,8.2 hrs,0 hrs,,,,,Deponia: The Complete Journey,Backlog,26.3 hrs,0 hrs
Blade & Sorcery,Arcade,9.5 hrs,1.3 hrs,,,,,Destroy All Humans! 2 - Reprobed,Backlog,11 hrs,0 hrs
Blanc,Backlog,2 hrs,0 hrs,,,,,Detention,Backlog,3.3 hrs,0 hrs
Blasphemous 2,Backlog,16 hrs,0 hrs,,,,,Deus Ex: Game of the Year Edition,Backlog,22.9 hrs,1.1 hrs
Bloodwash,Completed,1.4 hrs,2.5 hrs,,,,,Deus Ex: Human Revolution - Director's Cut,Backlog,23.3 hrs,2.5 hrs
Bomb Rush Cyberfunk,Backlog,10.2 hrs,0.8 hrs,,,,,DEVOUR,Backlog,3.5 hrs,0.9 hrs
Borderlands 2,Multiplayer,30.2 hrs,3.5 hrs,,,,,Diluvian Ultra,Backlog,7 hrs,0 hrs
Borderlands 3,Multiplayer,23.4 hrs,0 hrs,,,,,Diplomacy is Not an Option,Backlog,25.3 hrs,0 hrs
Borderlands GOTY,Playing,20.6 hrs,12.5 hrs,,,,,Disco Elysium,Backlog,23.6 hrs,8.1 hrs
Borderlands GOTY Enhanced,Dropped,20.6 hrs,0.8 hrs,,,,,Disgaea PC,Backlog,46.2 hrs,0 hrs
Borderlands: The Pre-Sequel,Playing,18.2 hrs,2.2 hrs,,,,,Dishonored 2,Backlog,12.5 hrs,7.2 hrs
Boxes,Arcade,2.3 hrs,0 hrs,,,,,Divinity: Original Sin (Classic),Backlog,60 hrs,0 hrs
Bravery and Greed,Multiplayer,5.8 hrs,0 hrs,,,,,Divinity: Original Sin 2,Backlog,59.2 hrs,0 hrs
Brawlhalla,Multiplayer,47.1 hrs,10.4 hrs,,,,,Divinity: Original Sin Enhanced Edition,Backlog,60.6 hrs,9.5 hrs
Brütal Legend,Completed,9.2 hrs,1.5 hrs,,,,,Dome Keeper,Backlog,4.8 hrs,0 hrs
Buckshot Roulette,Completed,0.4 hrs,0.6 hrs,,,,,Dordogne,Backlog,3.6 hrs,0 hrs
Bulb Boy,Backlog,2 hrs,0 hrs,,,,,DRACOMATON,Backlog,0 hrs,0 hrs
Bulletstorm: Full Clip Edition,Backlog,7.5 hrs,0 hrs,,,,,Dragon Age II: Ultimate Edition,Backlog,30.5 hrs,0 hrs
Bully: Scholarship Edition,Backlog,14.5 hrs,0.7 hrs,,,,,Dragon Age™ Inquisition,Backlog,52 hrs,1.4 hrs
Burning Daylight,Backlog,0.7 hrs,0 hrs,,,,,DRAGON QUEST III HD-2D Remake,Backlog,32.5 hrs,19.5 hrs
Burnout Paradise: The Ultimate Box,Arcade,11 hrs,0.9 hrs,,,,,DREDGE,Backlog,9.5 hrs,0 hrs
Call of Duty: Black Ops III,Arcade,9 hrs,4.3 hrs,,,,,Duke Nukem Forever,Backlog,9.2 hrs,0 hrs
Call of Duty®,Multiplayer,0 hrs,0 hrs,,,,,Dungeons 2,Backlog,15.5 hrs,0.3 hrs
Call of Juarez,Backlog,7.9 hrs,0 hrs,,,,,Dungeons of Hinterberg,Backlog,14.6 hrs,0 hrs
Call of Juarez Gunslinger,Backlog,5.1 hrs,0 hrs,,,,,Eastward,Backlog,20.2 hrs,0 hrs
Call of Juarez: Bound in Blood,Backlog,7.5 hrs,0 hrs,,,,,Edge Of Eternity,Backlog,29 hrs,0 hrs
Car Mechanic Simulator 2018,Arcade,27.9 hrs,2.1 hrs,,,,,Eiyuden Chronicle: Hundred Heroes,Backlog,46.5 hrs,0 hrs
Cassette Beasts,Backlog,19.8 hrs,1.5 hrs,,,,,Eiyuden Chronicle: Rising,Backlog,12.4 hrs,0 hrs
Castle Crashers,Multiplayer,7.2 hrs,4 hrs,,,,,Emily is Away <3,Backlog,4.6 hrs,2 hrs
